,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
4179,1.0,22.0,26.0,7.0,3.0,2.0,73.0,6.0,23.0,4.0,233.0,170.0,33.0,32.0,19.0,13.0,188.0,29.0,408.0,130.0,428.0,0.0,17.0,45.0,193.0,35.0,125.0,66.0,214.0,165.0
4228,7.0,8.0,0.0,125.0,25.0,2.0,14.0,11.0,9.0,22.0,468.0,51.0,31.0,5.0,17.0,238.0,142.0,67.0,37.0,26.0,23.0,1.0,122.0,43.0,47.0,260.0,70.0,141.0,282.0,18.0
4277,13.0,3.0,2.0,7.0,67.0,18.0,10.0,4.0,0.0,8.0,251.0,51.0,64.0,16.0,171.0,29.0,164.0,6.0,32.0,95.0,33.0,60.0,533.0,15.0,50.0,1.0,104.0,280.0,176.0,21.0
4326,5.0,10.0,16.0,0.0,12.0,25.0,22.0,4.0,2.0,1.0,6.0,32.0,79.0,110.0,67.0,60.0,8.0,21.0,19.0,51.0,40.0,13.0,147.0,165.0,78.0,535.0,104.0,44.0,342.0,268.0
4375,3.0,4.0,16.0,6.0,13.0,9.0,189.0,14.0,12.0,2.0,17.0,237.0,18.0,0.0,192.0,134.0,382.0,7.0,127.0,15.0,434.0,8.0,235.0,166.0,78.0,557.0,20.0,105.0,167.0,144.0
4424,0.0,17.0,15.0,4.0,1.0,2.0,10.0,12.0,24.0,5.0,8.0,13.0,19.0,18.0,71.0,83.0,39.0,64.0,239.0,153.0,7.0,186.0,3.0,22.0,54.0,104.0,145.0,91.0,29.0,14.0
4473,0.0,6.0,2.0,84.0,8.0,1.0,4.0,5.0,34.0,20.0,3.0,21.0,22.0,11.0,77.0,622.0,64.0,53.0,30.0,201.0,48.0,17.0,15.0,56.0,40.0,393.0,16.0,485.0,102.0,25.0
4522,4.0,1.0,21.0,84.0,28.0,3.0,0.0,5.0,16.0,12.0,7.0,25.0,87.0,6.0,306.0,214.0,115.0,551.0,250.0,121.0,56.0,15.0,2.0,39.0,8.0,143.0,79.0,216.0,80.0,219.0
4571,3.0,1.0,75.0,7.0,6.0,8.0,0.0,18.0,22.0,4.0,171.0,9.0,25.0,29.0,12.0,357.0,107.0,244.0,79.0,50.0,165.0,33.0,2.0,116.0,14.0,626.0,21.0,168.0,196.0,249.0
4620,8.0,1.0,272.0,0.0,10.0,2.0,3.0,110.0,78.0,11.0,19.0,15.0,204.0,240.0,44.0,14.0,112.0,6.0,13.0,31.0,71.0,4.0,17.0,540.0,26.0,499.0,5.0,173.0,70.0,267.0
4669,14.0,0.0,5.0,48.0,3.0,25.0,1.0,10.0,33.0,2.0,26.0,66.0,4.0,34.0,31.0,81.0,398.0,6.0,35.0,89.0,250.0,39.0,49.0,192.0,9.0,88.0,60.0,62.0,224.0,259.0
