,ZBTB20_AMP,LOC340357_DEL,BRAF_MUT,SFMBT1_AMP,CFHR3_AMP,GBP3_DEL,NRAS_MUT,NSF_AMP,KIAA1217_DEL,SLC25A37_DEL,CFHR1_AMP,SIRPB1_AMP,ATM_MUT,GSTTP1_DEL,TXNRD1_DEL,EID3_DEL,OR51A2_DEL,GSTT1_AMP,LOC391322_AMP,LOC100506776_DEL,DOCK10_AMP,TTTY22_DEL,TPTE_DEL,IRF8_DEL,NRG3_DEL,KRT16P2_DEL,LRRC37A2_AMP,MYH11_MUT,NSFP1_AMP,DDT_DEL
2873,10.0,5.0,8.0,33.0,65.0,12.0,3.0,40.0,2.0,4.0,106.0,0.0,73.0,25.0,6.0,7.0,1.0,16.0,15.0,28.0,324.0,21.0,177.0,35.0,11.0,95.0,124.0,13.0,159.0,24.0
2922,0.0,14.0,9.0,8.0,47.0,17.0,3.0,50.0,24.0,12.0,28.0,2.0,18.0,32.0,44.0,43.0,1.0,74.0,73.0,19.0,1360.0,20.0,221.0,27.0,54.0,29.0,117.0,25.0,125.0,187.0
2971,0.0,1.0,2.0,4.0,308.0,7.0,27.0,57.0,23.0,331.0,251.0,10.0,20.0,19.0,14.0,13.0,5.0,50.0,49.0,40.0,92.0,9.0,65.0,34.0,37.0,8.0,84.0,11.0,104.0,18.0
3020,5.0,2.0,1.0,7.0,128.0,0.0,456.0,24.0,481.0,13.0,87.0,30.0,10.0,79.0,3.0,4.0,29.0,90.0,91.0,311.0,231.0,14.0,308.0,36.0,45.0,27.0,84.0,80.0,85.0,39.0
3069,20.0,6.0,4.0,3.0,384.0,0.0,19.0,92.0,51.0,99.0,495.0,37.0,60.0,36.0,43.0,44.0,76.0,17.0,16.0,166.0,12.0,1.0,142.0,101.0,15.0,461.0,206.0,21.0,312.0,52.0
3118,1.0,3.0,9.0,4.0,127.0,0.0,2.0,7.0,46.0,84.0,42.0,52.0,5.0,31.0,20.0,21.0,209.0,150.0,151.0,79.0,57.0,50.0,131.0,29.0,18.0,61.0,12.0,23.0,16.0,43.0
3167,1.0,5.0,0.0,4.0,239.0,3.0,15.0,13.0,25.0,23.0,133.0,2.0,18.0,56.0,12.0,11.0,44.0,65.0,64.0,73.0,41.0,7.0,165.0,47.0,24.0,129.0,38.0,6.0,52.0,49.0
3216,124.0,4.0,11.0,14.0,82.0,5.0,34.0,210.0,21.0,25.0,60.0,29.0,35.0,37.0,2.0,3.0,1.0,32.0,33.0,249.0,149.0,12.0,38.0,47.0,30.0,195.0,677.0,19.0,850.0,16.0
3265,0.0,2.0,19.0,5.0,115.0,53.0,37.0,4.0,97.0,24.0,139.0,21.0,12.0,598.0,31.0,32.0,75.0,281.0,282.0,20237.0,22.0,10.0,597.0,42.0,6.0,1.0,18.0,34.0,25.0,26.0
3314,0.0,14.0,1.0,9.0,278.0,6.0,16.0,3.0,168.0,123.0,82.0,31.0,11.0,383.0,21.0,22.0,15.0,106.0,105.0,186.0,23.0,5.0,353.0,38.0,7.0,43.0,8.0,12.0,10.0,201.0
3363,34.0,6.0,1.0,7.0,59.0,0.0,60.0,84.0,112.0,102.0,8.0,2.0,44.0,124.0,5.0,4.0,10.0,17.0,16.0,20370.0,19.0,9.0,157.0,142.0,38.0,27.0,264.0,31.0,349.0,36.0
3412,42.0,2.0,1.0,34.0,189.0,0.0,45.0,10.0,16.0,172.0,177.0,20.0,124.0,15.0,8.0,9.0,3.0,24.0,25.0,244.0,4.0,13.0,119.0,107.0,38.0,59.0,23.0,32.0,30.0,21.0
3461,0.0,17.0,4.0,11.0,16.0,14.0,13.0,31.0,73.0,168.0,5.0,2.0,8.0,34.0,32.0,33.0,282.0,10.0,9.0,110.0,1.0,20.0,6.0,21.0,303.0,3.0,98.0,35.0,97.0,24.0
3510,1.0,2.0,46.0,25.0,3.0,40.0,4.0,9.0,27.0,41.0,0.0,13.0,8.0,15.0,6.0,5.0,59.0,74.0,73.0,26.0,33.0,10.0,16.0,17.0,50.0,19.0,21.0,18.0,20.0,42.0
