,beta-alanine,C56:5 TAG,GABA,C34:4 PC,alpha-glycerophosphate,C22:6 LPE,C36:4 PC-B,2-deoxycytidine,pantothenate,niacinamide,leucine,butyrylcarnitine/isobutyrylcarnitine,1-methylnicotinamide,putrescine,valerylcarnitine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,adenosine,C18:0 LPC,C56:3 TAG,C16:0 LPE,cotinine,inosine,C34:2 DAG,isocitrate,malondialdehyde,cystathionine,uridine,alpha-hydroxybutyrate,PEP
2716,0.0,3.0,2.0,9.0,1.0,10.0,4.0,54.0,21.0,18.0,56.0,50.0,5.0,6.0,16.0,20.0,58.0,19.0,29.0,28.0,40.0,26.0,14.0,7.0,23.0,22.0,15.0,44.0,34.0,32.0
2765,2.0,1.0,0.0,4.0,8.0,9.0,5.0,47.0,19.0,23.0,42.0,6.0,7.0,3.0,22.0,43.0,63.0,14.0,21.0,16.0,26.0,13.0,44.0,40.0,18.0,31.0,49.0,28.0,33.0,17.0
2814,2.0,1.0,0.0,15.0,14.0,13.0,6.0,7.0,4.0,33.0,21.0,64.0,26.0,5.0,30.0,12.0,45.0,8.0,9.0,56.0,10.0,16.0,3.0,55.0,54.0,25.0,40.0,19.0,24.0,32.0
2863,2.0,0.0,1.0,3.0,6.0,19.0,23.0,27.0,28.0,33.0,59.0,13.0,22.0,7.0,15.0,11.0,60.0,21.0,10.0,18.0,8.0,61.0,41.0,9.0,5.0,51.0,34.0,4.0,43.0,64.0
2912,1.0,7.0,0.0,2.0,14.0,8.0,4.0,11.0,3.0,13.0,43.0,15.0,5.0,18.0,9.0,62.0,45.0,35.0,17.0,25.0,31.0,10.0,41.0,55.0,20.0,30.0,28.0,26.0,6.0,37.0
2961,3.0,0.0,1.0,2.0,15.0,12.0,7.0,4.0,34.0,5.0,9.0,38.0,8.0,33.0,23.0,62.0,11.0,28.0,29.0,10.0,27.0,16.0,39.0,22.0,21.0,35.0,47.0,6.0,41.0,17.0
3010,2.0,1.0,0.0,5.0,3.0,21.0,9.0,13.0,7.0,8.0,4.0,63.0,6.0,62.0,39.0,35.0,10.0,36.0,38.0,25.0,50.0,31.0,23.0,18.0,44.0,20.0,12.0,26.0,22.0,30.0
3059,1.0,4.0,0.0,3.0,19.0,10.0,17.0,6.0,2.0,5.0,11.0,33.0,34.0,44.0,20.0,60.0,25.0,48.0,30.0,16.0,18.0,27.0,31.0,12.0,9.0,58.0,28.0,61.0,8.0,7.0
3108,1.0,5.0,0.0,2.0,3.0,4.0,6.0,9.0,7.0,13.0,33.0,21.0,28.0,18.0,19.0,31.0,14.0,24.0,15.0,37.0,11.0,63.0,23.0,42.0,30.0,26.0,46.0,10.0,8.0,17.0
3157,1.0,4.0,0.0,2.0,24.0,7.0,6.0,13.0,10.0,9.0,16.0,29.0,5.0,3.0,17.0,33.0,8.0,63.0,22.0,28.0,12.0,40.0,31.0,15.0,20.0,53.0,44.0,54.0,11.0,19.0
3206,0.0,1.0,3.0,2.0,13.0,5.0,14.0,11.0,9.0,4.0,6.0,32.0,7.0,10.0,25.0,24.0,16.0,40.0,22.0,12.0,26.0,38.0,34.0,35.0,30.0,39.0,23.0,18.0,21.0,8.0
