,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
3703,1.0,97.0,122.0,0.0,35.0,1440.0,224.0,376.0,557.0,18063.0,100.0,21999.0,15.0,31.0,9.0,22095.0,18330.0,66.0,24134.0,1534.0,24.0,15456.0,14190.0,477.0,23874.0,13911.0,82.0,1418.0,397.0,677.0
3752,15.0,191.0,63.0,1.0,4.0,7.0,8496.0,11.0,16834.0,439.0,108.0,834.0,98.0,1064.0,12.0,251.0,88.0,1238.0,729.0,368.0,16228.0,15386.0,421.0,90.0,1314.0,14019.0,247.0,35.0,19.0,2414.0
3801,20.0,105.0,1858.0,16.0,284.0,342.0,42.0,275.0,16819.0,8.0,1953.0,19.0,21.0,23048.0,0.0,14.0,214.0,1336.0,24134.0,309.0,2195.0,14763.0,5.0,79.0,261.0,683.0,141.0,19070.0,521.0,27.0
3850,60.0,97.0,154.0,67.0,40.0,401.0,96.0,15871.0,15870.0,77.0,17136.0,38.0,162.0,291.0,55.0,106.0,18463.0,6.0,247.0,375.0,16245.0,72.0,13865.0,52.0,22904.0,164.0,1501.0,238.0,17560.0,12973.0
3899,129.0,21949.0,5.0,1.0,17214.0,396.0,133.0,160.0,16777.0,605.0,21.0,10.0,224.0,23046.0,26.0,40.0,165.0,2758.0,0.0,33.0,646.0,9.0,485.0,2009.0,22908.0,13988.0,18080.0,19052.0,35.0,70.0
3948,18.0,85.0,4.0,126.0,14.0,365.0,28.0,74.0,7.0,122.0,17914.0,27.0,9.0,10.0,48.0,5.0,163.0,4737.0,960.0,1866.0,23.0,2287.0,92.0,2.0,23968.0,13822.0,15936.0,18870.0,209.0,14230.0
3997,56.0,15.0,10.0,2423.0,120.0,14772.0,58.0,418.0,16875.0,160.0,302.0,21944.0,59.0,21.0,84.0,22034.0,202.0,2693.0,267.0,12298.0,6.0,1018.0,14222.0,22963.0,34.0,13897.0,17982.0,7.0,214.0,12828.0
4046,14478.0,21952.0,85.0,20.0,17.0,14762.0,213.0,544.0,93.0,123.0,5.0,206.0,3.0,22982.0,0.0,2.0,166.0,3988.0,892.0,19.0,115.0,391.0,570.0,22980.0,73.0,13887.0,736.0,24.0,46.0,12819.0
4095,14392.0,616.0,144.0,133.0,44.0,14882.0,1536.0,16778.0,43.0,131.0,216.0,21722.0,82.0,285.0,16.0,22163.0,590.0,139.0,805.0,10587.0,129.0,2040.0,1192.0,319.0,22894.0,1057.0,18098.0,20.0,9.0,12806.0
4144,13255.0,22187.0,7.0,8016.0,2.0,15396.0,0.0,3.0,6219.0,902.0,54.0,22418.0,22.0,321.0,16960.0,1280.0,16747.0,67.0,63.0,446.0,5.0,332.0,1364.0,1.0,21820.0,18409.0,102.0,84.0,903.0,469.0
