,DYNC2H1_AMP,TRIM49_DEL,BIRC3_AMP,KRAS.G12_13_MUT,YAP1_AMP,EYA1_DEL,TMEM123_AMP,ETS1_DEL,CRTAM_DEL,MMP13_AMP,OR2T35_AMP,OR8B2_DEL,MIR4697_DEL,BCAS3_DEL,UQCC_AMP,DENND4C_DEL,LOC283174_DEL,BARX2_DEL,LOC341056_DEL,HLA-DRB6_AMP,C11orf70_AMP,MMP27_AMP,NOMO3_AMP,HEPACAM_DEL,CHN2_DEL,NCOA1_MUT,BOD1L2_DEL,PRH1-PRR4_AMP,LMAN1_DEL,CCBE1_DEL
3609,99.0,7.0,18721.0,60.0,19655.0,1.0,15129.0,3.0,27.0,14492.0,2.0,9.0,21.0,132.0,12.0,173.0,22.0,110.0,23.0,78.0,138.0,782.0,80.0,25.0,62.0,104.0,7519.0,221.0,3872.0,15.0
3658,29.0,0.0,702.0,60.0,288.0,516.0,18427.0,25.0,18.0,478.0,456.0,1.0,126.0,21.0,22073.0,35.0,12.0,99.0,163.0,199.0,23123.0,21967.0,2.0,14.0,382.0,16.0,273.0,401.0,379.0,5.0
3707,21861.0,0.0,41.0,1.0,15720.0,6049.0,414.0,44.0,34.0,13666.0,14589.0,184.0,18.0,3294.0,495.0,39.0,13.0,37.0,181.0,124.0,493.0,651.0,2859.0,11.0,377.0,57.0,6872.0,23208.0,2064.0,16.0
3756,491.0,23.0,78.0,2.0,22836.0,39.0,587.0,15.0,37.0,1196.0,14599.0,14.0,20199.0,1915.0,177.0,16.0,300.0,197.0,13.0,156.0,23772.0,1365.0,91.0,218.0,30.0,93.0,595.0,85.0,3087.0,77.0
3805,34.0,0.0,38.0,5.0,196.0,77.0,31.0,10.0,24.0,344.0,116.0,1.0,17.0,254.0,46.0,15.0,18.0,80.0,66.0,103.0,539.0,498.0,2.0,21.0,73.0,25.0,7331.0,14.0,131.0,82.0
3854,379.0,0.0,18.0,9.0,491.0,44.0,18439.0,1.0,7.0,1426.0,76.0,11.0,20.0,24.0,48.0,17.0,19.0,130.0,25.0,2993.0,23109.0,435.0,49.0,28.0,6.0,2143.0,6976.0,647.0,1249.0,99.0
3903,425.0,0.0,60.0,2310.0,117.0,13.0,16676.0,5.0,32.0,717.0,772.0,29.0,8.0,9.0,67.0,2.0,22.0,33.0,36.0,84.0,24026.0,499.0,20.0,28.0,12.0,244.0,690.0,203.0,3957.0,725.0
3952,1.0,7.0,38.0,460.0,0.0,5.0,12.0,69.0,11468.0,9.0,10.0,584.0,134.0,1025.0,55.0,1128.0,432.0,27.0,501.0,18848.0,41.0,8.0,18615.0,6949.0,684.0,718.0,7558.0,2.0,3966.0,20263.0
4001,3.0,39.0,54.0,3214.0,25.0,145.0,56.0,5.0,61.0,101.0,18250.0,80.0,57.0,32.0,300.0,136.0,211.0,23.0,198.0,9.0,271.0,59.0,3545.0,28.0,148.0,124.0,7517.0,305.0,93.0,77.0
4050,4.0,34.0,13.0,274.0,10.0,3.0,38.0,28.0,11102.0,1.0,377.0,519.0,2036.0,103.0,88.0,80.0,7382.0,30.0,3979.0,3258.0,6.0,12.0,42.0,513.0,112.0,98.0,7487.0,89.0,4535.0,468.0
4099,0.0,180.0,43.0,918.0,7.0,49.0,14.0,5.0,11074.0,30.0,47.0,91.0,310.0,286.0,657.0,211.0,78.0,252.0,86.0,122.0,45.0,15522.0,37.0,88.0,931.0,4557.0,7338.0,44.0,2070.0,20710.0
4148,5.0,2.0,13515.0,986.0,18185.0,0.0,18528.0,319.0,12474.0,14734.0,416.0,6248.0,19023.0,78.0,58.0,14.0,802.0,10361.0,292.0,184.0,23277.0,480.0,1800.0,7135.0,20240.0,47.0,5946.0,10.0,5571.0,4708.0
4197,2.0,0.0,17.0,293.0,16.0,8.0,11.0,10.0,117.0,29.0,51.0,105.0,67.0,41.0,34.0,1012.0,66.0,71.0,88.0,36.0,6.0,44.0,2022.0,355.0,113.0,17188.0,7644.0,1.0,5271.0,3728.0
4246,3.0,37.0,41.0,3523.0,55.0,15.0,9.0,25.0,12520.0,34.0,70.0,6240.0,266.0,125.0,231.0,212.0,268.0,44.0,78.0,20.0,21.0,215.0,1196.0,328.0,63.0,136.0,4.0,1849.0,168.0,253.0
4295,2.0,0.0,35.0,278.0,9.0,10.0,1.0,31.0,12469.0,71.0,15573.0,109.0,19.0,84.0,89.0,34.0,26.0,4.0,320.0,17.0,7.0,6.0,466.0,514.0,56.0,57.0,6534.0,136.0,3074.0,352.0
4344,2.0,5.0,1.0,33.0,14.0,68.0,169.0,6.0,61.0,0.0,214.0,77.0,59.0,7.0,10.0,12070.0,45.0,12028.0,29.0,43.0,90.0,37.0,2069.0,56.0,28.0,448.0,3.0,34.0,4858.0,101.0
4393,76.0,1.0,88.0,255.0,577.0,37.0,130.0,6.0,69.0,29.0,116.0,410.0,43.0,4.0,14.0,356.0,9.0,27.0,136.0,316.0,1329.0,340.0,826.0,574.0,449.0,12.0,697.0,3.0,4691.0,72.0
4442,7.0,1233.0,43.0,32.0,38.0,143.0,29.0,149.0,297.0,55.0,130.0,16.0,305.0,78.0,15065.0,4.0,304.0,118.0,342.0,30.0,618.0,66.0,1446.0,93.0,266.0,131.0,20.0,34.0,42.0,166.0
4491,25.0,1186.0,553.0,59.0,929.0,6.0,18466.0,44.0,14.0,14663.0,1730.0,58.0,2242.0,10796.0,22098.0,8.0,432.0,338.0,352.0,40.0,162.0,534.0,0.0,351.0,402.0,76.0,5.0,23.0,234.0,148.0
